Ticker,Model,Feature_Set,Selected_Lookback,n_Test,Test_ROC_AUC_Mean,Test_ROC_AUC_SD,Test_PR_AUC_Mean,Test_Balanced_Accuracy_Mean,Test_F1_Mean,Test_Brier_Score_Mean,Test_Log_Loss_Mean,Test_Accuracy_Mean,Test_Cohen_Kappa_Mean,Decision_Threshold,Notes
AAPL,HMM-only probability benchmark,HMM_Up_Prob_Raw,,122,0.43744911804613296,0.0,0.5126494070358486,0.45088195386702845,0.35514018691588783,0.25533165913363254,0.7042735865142551,0.4344262295081967,-0.09409929815440599,0.6,Benchmark for the raw HMM-implied next-week up probability; HMM is not retrained here.
AAPL,Persistence baseline,Current-week direction,,122,0.46933514246947083,0.0,0.5348793061262371,0.46933514246947083,0.48,0.5327868852459017,7.360723305466402,0.4672131147540984,-0.06044396897566173,0.5,Persistence: next week has the same direction as the current week.
AAPL,Technical logistic regression,Technical,,122,0.5831750339213027,0.0,0.6238028877954744,0.5469470827679783,0.4864864864864865,0.24543485775000973,0.6839311575230997,0.5327868852459017,0.09050483913157203,0.59,Deterministic logistic benchmark; C selected by validation ROC-AUC; threshold selected by validation balanced accuracy.
AAPL,Technical-only LSTM,Technical,4.0,122,0.5311261872455904,0.039932689896960846,0.5774303527353768,0.5253459972862957,0.5309892908118669,0.2470346611821721,0.6872581268756058,0.5262295081967213,0.049861406988035005,0.568,Mean across selected-lookback seed-level LSTM runs; threshold shown as mean validation-selected threshold.
AAPL,Technical-plus-HMM LSTM,Technical + HMM,12.0,122,0.46995929443690637,0.01099535882770448,0.5428508721307062,0.4802442333785617,0.32623953004076944,0.2520606220577867,0.6976196950723608,0.4573770491803278,-0.038293658401438925,0.602,Mean across selected-lookback seed-level LSTM runs; threshold shown as mean validation-selected threshold.
AAPL,Train-majority baseline,Training target distribution,,122,0.5,0.0,0.5491803278688525,0.5,0.708994708994709,0.24879864014923447,0.6907895743695232,0.5491803278688525,0.0,0.5,Class-distribution baseline; training up-share=0.5841.
IBM,HMM-only probability benchmark,HMM_Up_Prob_Raw,,122,0.5394144144144144,0.0,0.6158069713982699,0.5526463963963963,0.7634408602150538,0.2454404182749192,0.6840218723301784,0.639344262295082,0.12230215827338131,0.5,Benchmark for the raw HMM-implied next-week up probability; HMM is not retrained here.
IBM,Persistence baseline,Current-week direction,,122,0.5160472972972974,0.0,0.6143827965578139,0.5160472972972974,0.6068965517241379,0.4672131147540984,6.454788252485406,0.5327868852459017,0.031746031746031744,0.5,Persistence: next week has the same direction as the current week.
IBM,Technical logistic regression,Technical,,122,0.5796734234234234,0.0,0.6727769339274908,0.5554617117117117,0.38,0.24721041178009426,0.687502107727436,0.4918032786885246,0.09434865900383138,0.52,Deterministic logistic benchmark; C selected by validation ROC-AUC; threshold selected by validation balanced accuracy.
IBM,Technical-only LSTM,Technical,4.0,122,0.5832488738738738,0.04556568486309024,0.6796611459715018,0.5517454954954955,0.4297267909332838,0.24566525792473323,0.6842728345286604,0.5032786885245901,0.09291969377124747,0.522,Mean across selected-lookback seed-level LSTM runs; threshold shown as mean validation-selected threshold.
IBM,Technical-plus-HMM LSTM,Technical + HMM,4.0,122,0.584769144144144,0.028383838112544014,0.6847462890347302,0.5318693693693695,0.31286075646543676,0.24695394610658727,0.686808554786126,0.46229508196721314,0.05376674886715747,0.544,Mean across selected-lookback seed-level LSTM runs; threshold shown as mean validation-selected threshold.
IBM,Train-majority baseline,Training target distribution,,122,0.5,0.0,0.6065573770491803,0.5,0.7551020408163265,0.2454787914891213,0.6840983062212873,0.6065573770491803,0.0,0.5,Class-distribution baseline; training up-share=0.5239.
MSFT,HMM-only probability benchmark,HMM_Up_Prob_Raw,,122,0.4528301886792453,0.0,0.566537456103852,0.48769483182936835,0.7058823529411765,0.24760418974012272,0.6883774267855421,0.5491803278688525,-0.027565084226646386,0.5,Benchmark for the raw HMM-implied next-week up probability; HMM is not retrained here.
MSFT,Persistence baseline,Current-week direction,,122,0.5417008476893629,0.0,0.5875504870515562,0.5417008476893629,0.5692307692307692,0.45901639344262296,6.341546370863459,0.5409836065573771,0.08196721311475408,0.5,Persistence: next week has the same direction as the current week.
MSFT,Technical logistic regression,Technical,,122,0.4145474432595023,0.0,0.5607269113357534,0.4131802023516543,0.5641025641025641,0.26041413011362075,0.7148331736757358,0.4426229508196721,-0.18075718758895531,0.55,Deterministic logistic benchmark; C selected by validation ROC-AUC; threshold selected by validation balanced accuracy.
MSFT,Technical-only LSTM,Technical,4.0,122,0.47607328411266064,0.020390691882686784,0.5934011189721091,0.4719168717528029,0.5924260039772226,0.24892966927552843,0.6910746405973611,0.5016393442622951,-0.057720912491241186,0.534,Mean across selected-lookback seed-level LSTM runs; threshold shown as mean validation-selected threshold.
MSFT,Technical-plus-HMM LSTM,Technical + HMM,4.0,122,0.4735575608422204,0.04026165818045971,0.5661129687953095,0.4660650806672136,0.5283015845634441,0.24978463087709377,0.6929382164572402,0.4786885245901639,-0.06706109126850265,0.554,Mean across selected-lookback seed-level LSTM runs; threshold shown as mean validation-selected threshold.
MSFT,Train-majority baseline,Training target distribution,,122,0.5,0.0,0.5655737704918032,0.5,0.7225130890052356,0.24604222059316308,0.6852238835446646,0.5655737704918032,0.0,0.5,Class-distribution baseline; training up-share=0.5841.
