Section,Ticker,Model,Metric,Report_Value,Code_Value,Status,Notes
Table 4,AAPL,Bullish,Count,332.0,332.0,PASS,Compared to weekly_hmm_state_summary.csv and weekly_hmm_expected_durations.csv.
Table 4,AAPL,Bullish,Mean return,0.01,0.01,PASS,Compared to weekly_hmm_state_summary.csv and weekly_hmm_expected_durations.csv.
Table 4,AAPL,Bullish,Volatility,0.022,0.022,PASS,Compared to weekly_hmm_state_summary.csv and weekly_hmm_expected_durations.csv.
Table 4,AAPL,Bullish,Positive share,0.678,0.678,PASS,Compared to weekly_hmm_state_summary.csv and weekly_hmm_expected_durations.csv.
Table 4,AAPL,Bullish,Expected duration,10.6,10.6,PASS,Compared to weekly_hmm_state_summary.csv and weekly_hmm_expected_durations.csv.
Table 4,AAPL,Bearish,Count,233.0,233.0,PASS,Compared to weekly_hmm_state_summary.csv and weekly_hmm_expected_durations.csv.
Table 4,AAPL,Bearish,Mean return,-0.003,-0.003,PASS,Compared to weekly_hmm_state_summary.csv and weekly_hmm_expected_durations.csv.
Table 4,AAPL,Bearish,Volatility,0.053,0.053,PASS,Compared to weekly_hmm_state_summary.csv and weekly_hmm_expected_durations.csv.
Table 4,AAPL,Bearish,Positive share,0.455,0.455,PASS,Compared to weekly_hmm_state_summary.csv and weekly_hmm_expected_durations.csv.
Table 4,AAPL,Bearish,Expected duration,9.5,9.5,PASS,Compared to weekly_hmm_state_summary.csv and weekly_hmm_expected_durations.csv.
Table 4,IBM,Bullish,Count,430.0,430.0,PASS,Compared to weekly_hmm_state_summary.csv and weekly_hmm_expected_durations.csv.
Table 4,IBM,Bullish,Mean return,0.002,0.002,PASS,Compared to weekly_hmm_state_summary.csv and weekly_hmm_expected_durations.csv.
Table 4,IBM,Bullish,Volatility,0.017,0.017,PASS,Compared to weekly_hmm_state_summary.csv and weekly_hmm_expected_durations.csv.
Table 4,IBM,Bullish,Positive share,0.535,0.535,PASS,Compared to weekly_hmm_state_summary.csv and weekly_hmm_expected_durations.csv.
Table 4,IBM,Bullish,Expected duration,11.0,11.0,PASS,Compared to weekly_hmm_state_summary.csv and weekly_hmm_expected_durations.csv.
Table 4,IBM,Bearish,Count,135.0,135.0,PASS,Compared to weekly_hmm_state_summary.csv and weekly_hmm_expected_durations.csv.
Table 4,IBM,Bearish,Mean return,-0.003,-0.003,PASS,Compared to weekly_hmm_state_summary.csv and weekly_hmm_expected_durations.csv.
Table 4,IBM,Bearish,Volatility,0.055,0.055,PASS,Compared to weekly_hmm_state_summary.csv and weekly_hmm_expected_durations.csv.
Table 4,IBM,Bearish,Positive share,0.489,0.489,PASS,Compared to weekly_hmm_state_summary.csv and weekly_hmm_expected_durations.csv.
Table 4,IBM,Bearish,Expected duration,4.6,4.6,PASS,Compared to weekly_hmm_state_summary.csv and weekly_hmm_expected_durations.csv.
Table 4,MSFT,Bullish,Count,490.0,490.0,PASS,Compared to weekly_hmm_state_summary.csv and weekly_hmm_expected_durations.csv.
Table 4,MSFT,Bullish,Mean return,0.006,0.006,PASS,Compared to weekly_hmm_state_summary.csv and weekly_hmm_expected_durations.csv.
Table 4,MSFT,Bullish,Volatility,0.021,0.021,PASS,Compared to weekly_hmm_state_summary.csv and weekly_hmm_expected_durations.csv.
Table 4,MSFT,Bullish,Positive share,0.604,0.604,PASS,Compared to weekly_hmm_state_summary.csv and weekly_hmm_expected_durations.csv.
Table 4,MSFT,Bullish,Expected duration,12.2,12.2,PASS,Compared to weekly_hmm_state_summary.csv and weekly_hmm_expected_durations.csv.
Table 4,MSFT,Bearish,Count,75.0,75.0,PASS,Compared to weekly_hmm_state_summary.csv and weekly_hmm_expected_durations.csv.
Table 4,MSFT,Bearish,Mean return,-0.004,-0.004,PASS,Compared to weekly_hmm_state_summary.csv and weekly_hmm_expected_durations.csv.
Table 4,MSFT,Bearish,Volatility,0.065,0.065,PASS,Compared to weekly_hmm_state_summary.csv and weekly_hmm_expected_durations.csv.
Table 4,MSFT,Bearish,Positive share,0.453,0.453,PASS,Compared to weekly_hmm_state_summary.csv and weekly_hmm_expected_durations.csv.
Table 4,MSFT,Bearish,Expected duration,3.6,3.6,PASS,Compared to weekly_hmm_state_summary.csv and weekly_hmm_expected_durations.csv.
Table 5,AAPL,HMM-only probability benchmark,ROC-AUC,0.437,0.437,PASS,Compared to controlled_model_summary.csv rounded to 3 decimals.
Table 5,AAPL,HMM-only probability benchmark,PR-AUC,0.513,0.513,PASS,Compared to controlled_model_summary.csv rounded to 3 decimals.
Table 5,AAPL,HMM-only probability benchmark,Balanced accuracy,0.451,0.451,PASS,Compared to controlled_model_summary.csv rounded to 3 decimals.
Table 5,AAPL,HMM-only probability benchmark,F1,0.355,0.355,PASS,Compared to controlled_model_summary.csv rounded to 3 decimals.
Table 5,AAPL,Persistence baseline,ROC-AUC,0.469,0.469,PASS,Compared to controlled_model_summary.csv rounded to 3 decimals.
