Section,Ticker,Metric,Block_Length,Report_Delta,Code_Delta,Report_CI_Low,Code_CI_Low,Report_CI_High,Code_CI_High,Status,Notes
Table 6,AAPL,ROC-AUC,4,-0.061,-0.061,-0.112,-0.113,-0.011,-0.011,PASS,"Recomputed from selected_test_predictions.csv with 20000 circular block bootstrap draws, seed 5. Tiny Monte Carlo differences are allowed."
Table 6,AAPL,ROC-AUC,8,-0.061,-0.061,-0.111,-0.112,-0.01,-0.011,PASS,"Recomputed from selected_test_predictions.csv with 20000 circular block bootstrap draws, seed 5. Tiny Monte Carlo differences are allowed."
Table 6,AAPL,ROC-AUC,12,-0.061,-0.061,-0.107,-0.108,-0.014,-0.013,PASS,"Recomputed from selected_test_predictions.csv with 20000 circular block bootstrap draws, seed 5. Tiny Monte Carlo differences are allowed."
Table 6,AAPL,Balanced accuracy,4,-0.045,-0.045,-0.08,-0.08,-0.009,-0.009,PASS,"Recomputed from selected_test_predictions.csv with 20000 circular block bootstrap draws, seed 5. Tiny Monte Carlo differences are allowed."
Table 6,AAPL,Balanced accuracy,8,-0.045,-0.045,-0.079,-0.079,-0.011,-0.011,PASS,"Recomputed from selected_test_predictions.csv with 20000 circular block bootstrap draws, seed 5. Tiny Monte Carlo differences are allowed."
Table 6,AAPL,Balanced accuracy,12,-0.045,-0.045,-0.075,-0.075,-0.013,-0.013,PASS,"Recomputed from selected_test_predictions.csv with 20000 circular block bootstrap draws, seed 5. Tiny Monte Carlo differences are allowed."
Table 6,IBM,ROC-AUC,4,0.002,0.002,-0.029,-0.03,0.035,0.034,PASS,"Recomputed from selected_test_predictions.csv with 20000 circular block bootstrap draws, seed 5. Tiny Monte Carlo differences are allowed."
Table 6,IBM,ROC-AUC,8,0.002,0.002,-0.027,-0.027,0.034,0.033,PASS,"Recomputed from selected_test_predictions.csv with 20000 circular block bootstrap draws, seed 5. Tiny Monte Carlo differences are allowed."
Table 6,IBM,ROC-AUC,12,0.002,0.002,-0.026,-0.026,0.033,0.032,PASS,"Recomputed from selected_test_predictions.csv with 20000 circular block bootstrap draws, seed 5. Tiny Monte Carlo differences are allowed."
Table 6,IBM,Balanced accuracy,4,-0.02,-0.02,-0.05,-0.049,0.008,0.009,PASS,"Recomputed from selected_test_predictions.csv with 20000 circular block bootstrap draws, seed 5. Tiny Monte Carlo differences are allowed."
Table 6,IBM,Balanced accuracy,8,-0.02,-0.02,-0.047,-0.047,0.006,0.005,PASS,"Recomputed from selected_test_predictions.csv with 20000 circular block bootstrap draws, seed 5. Tiny Monte Carlo differences are allowed."
Table 6,IBM,Balanced accuracy,12,-0.02,-0.02,-0.044,-0.044,0.003,0.003,PASS,"Recomputed from selected_test_predictions.csv with 20000 circular block bootstrap draws, seed 5. Tiny Monte Carlo differences are allowed."
Table 6,MSFT,ROC-AUC,4,-0.003,-0.003,-0.031,-0.031,0.028,0.028,PASS,"Recomputed from selected_test_predictions.csv with 20000 circular block bootstrap draws, seed 5. Tiny Monte Carlo differences are allowed."
Table 6,MSFT,ROC-AUC,8,-0.003,-0.003,-0.029,-0.029,0.03,0.029,PASS,"Recomputed from selected_test_predictions.csv with 20000 circular block bootstrap draws, seed 5. Tiny Monte Carlo differences are allowed."
Table 6,MSFT,ROC-AUC,12,-0.003,-0.003,-0.025,-0.025,0.026,0.025,PASS,"Recomputed from selected_test_predictions.csv with 20000 circular block bootstrap draws, seed 5. Tiny Monte Carlo differences are allowed."
Table 6,MSFT,Balanced accuracy,4,-0.006,-0.006,-0.04,-0.041,0.029,0.029,PASS,"Recomputed from selected_test_predictions.csv with 20000 circular block bootstrap draws, seed 5. Tiny Monte Carlo differences are allowed."
Table 6,MSFT,Balanced accuracy,8,-0.006,-0.006,-0.042,-0.042,0.031,0.031,PASS,"Recomputed from selected_test_predictions.csv with 20000 circular block bootstrap draws, seed 5. Tiny Monte Carlo differences are allowed."
Table 6,MSFT,Balanced accuracy,12,-0.006,-0.006,-0.042,-0.042,0.03,0.031,PASS,"Recomputed from selected_test_predictions.csv with 20000 circular block bootstrap draws, seed 5. Tiny Monte Carlo differences are allowed."
