Ticker,From_State,To_State,From_Label,To_Label,Transition_Probability
AAPL,0,0,Bullish,Bullish,0.9056712113358862
AAPL,0,1,Bullish,Bearish,0.09432878866411376
AAPL,1,0,Bearish,Bullish,0.10581949424205582
AAPL,1,1,Bearish,Bearish,0.8941805057579442
IBM,0,0,Bullish,Bullish,0.9087988193471941
IBM,0,1,Bullish,Bearish,0.09120118065280595
IBM,1,0,Bearish,Bullish,0.2168700395699559
IBM,1,1,Bearish,Bearish,0.7831299604300441
MSFT,0,0,Bullish,Bullish,0.9181113005535452
MSFT,0,1,Bullish,Bearish,0.08188869944645487
MSFT,1,0,Bearish,Bullish,0.2815787683346812
MSFT,1,1,Bearish,Bearish,0.7184212316653188
